0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:10:00 +0530] "GET /BootStramp1/register.html HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:10:35 +0530] "GET /BootStramp1/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:10:35 +0530] "GET /BootStramp1/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:10:35 +0530] "GET /BootStramp1/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:10:37 +0530] "GET /BootStramp1/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:10:37 +0530] "GET /BootStramp1/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:15:12 +0530] "GET /BootStramp1/profile.html HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:27:46 +0530] "GET /BootStramp1/register.html HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:29:42 +0530] "GET /BootStramp1/ HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:30:44 +0530] "GET /BootStramp1/first.html HTTP/1.1" 200 3502
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:34:14 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:14:34:16 +0530] "GET /BootStramp1/first.html HTTP/1.1" 304 -
